,"DVX1990","DVX1991","DVX1992","DVX1993","DVX1994","DVX1995","DVX1996","DVX1997","DVX1998","DVX1999","DVX2000","DVX2001","DVX2002","DVX2003","DVX2004","DVX2005","DVX2006","DVX2007","DVX2008","DVX2009","DVX2010","DVX2011","DVX2012","DVX2013","DVX2014","DVX2015","DVX2016","DVX2017","DVX2018","VA_exp1990","VA_exp1991","VA_exp1992","VA_exp1993","VA_exp1994","VA_exp1995","VA_exp1996","VA_exp1997","VA_exp1998","VA_exp1999","VA_exp2000","VA_exp2001","VA_exp2002","VA_exp2003","VA_exp2004","VA_exp2005","VA_exp2006","VA_exp2007","VA_exp2008","VA_exp2009","VA_exp2010","VA_exp2011","VA_exp2012","VA_exp2013","VA_exp2014","VA_exp2015","VA_exp2016","VA_exp2017","VA_exp2018","FVA1990","FVA1991","FVA1992","FVA1993","FVA1994","FVA1995","FVA1996","FVA1997","FVA1998","FVA1999","FVA2000","FVA2001","FVA2002","FVA2003","FVA2004","FVA2005","FVA2006","FVA2007","FVA2008","FVA2009","FVA2010","FVA2011","FVA2012","FVA2013","FVA2014","FVA2015","FVA2016","FVA2017","FVA2018","GVC1990","GVC1991","GVC1992","GVC1993","GVC1994","GVC1995","GVC1996","GVC1997","GVC1998","GVC1999","GVC2000","GVC2001","GVC2002","GVC2003","GVC2004","GVC2005","GVC2006","GVC2007","GVC2008","GVC2009","GVC2010","GVC2011","GVC2012","GVC2013","GVC2014","GVC2015","GVC2016","GVC2017","GVC2018","DVA1990","DVA1991","DVA1992","DVA1993","DVA1994","DVA1995","DVA1996","DVA1997","DVA1998","DVA1999","DVA2000","DVA2001","DVA2002","DVA2003","DVA2004","DVA2005","DVA2006","DVA2007","DVA2008","DVA2009","DVA2010","DVA2011","DVA2012","DVA2013","DVA2014","DVA2015","DVA2016","DVA2017","DVA2018",
"Sri Lanka","3.705950e+05","3.980593e+05","4.764247e+05","4.802733e+05","5.480980e+05","6.681052e+05","7.341886e+05","7.733227e+05","8.349181e+05","8.378931e+05","9.584162e+05","9.474234e+05","9.933026e+05","1.159246e+06","1.412092e+06","1.629934e+06","1.925520e+06","2.242557e+06","2.654793e+06","2.146401e+06","2.869301e+06","3.316080e+06","3.271482e+06","3.547451e+06","3.595538e+06","3.148163e+06","3.382056e+06","3.515806e+06","3.660170e+06","1.666460e+06","1.773134e+06","2.076703e+06","2.162266e+06","2.420510e+06","2.845465e+06","3.064045e+06","3.384721e+06","3.612093e+06","3.669464e+06","4.055483e+06","3.948987e+06","4.172020e+06","4.589697e+06","5.376565e+06","6.066526e+06","6.910265e+06","7.862108e+06","8.981769e+06","7.714818e+06","9.992694e+06","1.137265e+07","1.135697e+07","1.217970e+07","1.253475e+07","1.164684e+07","1.281000e+07","1.314806e+07","1.392014e+07","2.516473e+05","2.608325e+05","3.073117e+05","3.097470e+05","3.549139e+05","4.361072e+05","4.545485e+05","4.467753e+05","4.414997e+05","4.561727e+05","5.494919e+05","5.098893e+05","5.054537e+05","5.511663e+05","7.040188e+05","7.716449e+05","9.173141e+05","1.103609e+06","1.221306e+06","8.797777e+05","1.229231e+06","1.546452e+06","1.516202e+06","1.484352e+06","1.572747e+06","1.351951e+06","1.474200e+06","1.511788e+06","1.598407e+06","6.222423e+05","6.588918e+05","7.837365e+05","7.900203e+05","9.030119e+05","1.104212e+06","1.188737e+06","1.220098e+06","1.276418e+06","1.294066e+06","1.507908e+06","1.457313e+06","1.498756e+06","1.710412e+06","2.116111e+06","2.401578e+06","2.842834e+06","3.346165e+06","3.876100e+06","3.026178e+06","4.098532e+06","4.862532e+06","4.787684e+06","5.031803e+06","5.168285e+06","4.500114e+06","4.856256e+06","5.027595e+06","5.258577e+06","1.414813e+06","1.512301e+06","1.769392e+06","1.852519e+06","2.065596e+06","2.409358e+06","2.609497e+06","2.937945e+06","3.170593e+06","3.213292e+06","3.505991e+06","3.439098e+06","3.666567e+06","4.038531e+06","4.672546e+06","5.294881e+06","5.992951e+06","6.758499e+06","7.760463e+06","6.835040e+06","8.763463e+06","9.826202e+06","9.840771e+06","1.069535e+07","1.096200e+07","1.029489e+07","1.133580e+07","1.163627e+07","1.232174e+07",
"Sudan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"Suriname","6.833578e+04","6.887985e+04","7.892413e+04","6.515697e+04","6.735986e+04","9.461665e+04","1.043134e+05","1.070277e+05","1.190637e+05","1.157983e+05","1.574887e+05","1.254776e+05","1.396734e+05","1.550776e+05","1.648039e+05","1.895389e+05","2.272196e+05","2.729108e+05","3.288041e+05","2.847205e+05","3.893987e+05","3.858141e+05","3.815718e+05","4.108339e+05","4.223999e+05","4.081120e+05","3.496144e+05","3.686382e+05","4.307812e+05","1.734244e+05","1.718924e+05","1.846779e+05","1.512089e+05","1.572670e+05","2.056765e+05","2.231243e+05","2.287671e+05","2.501632e+05","2.427457e+05","3.146189e+05","2.517000e+05","2.822871e+05","3.083750e+05","3.431546e+05","3.920662e+05","4.651649e+05","5.618474e+05","6.775248e+05","6.162301e+05","8.611844e+05","8.991460e+05","8.711672e+05","9.301338e+05","9.685499e+05","9.294232e+05","7.866035e+05","1.003403e+06","1.021206e+06","3.485549e+04","2.951663e+04","2.423405e+04","2.449245e+04","3.091920e+04","3.638543e+04","3.855107e+04","3.552404e+04","3.447891e+04","3.502561e+04","4.269291e+04","3.854956e+04","3.897466e+04","4.615481e+04","5.491811e+04","6.271089e+04","7.310218e+04","9.289007e+04","1.168397e+05","9.915155e+04","1.432441e+05","1.987151e+05","1.877518e+05","1.940961e+05","2.044253e+05","1.765908e+05","1.731478e+05","2.183352e+05","2.028177e+05","1.031913e+05","9.839649e+04","1.031582e+05","8.964942e+04","9.827906e+04","1.310021e+05","1.428645e+05","1.425518e+05","1.535426e+05","1.508239e+05","2.001816e+05","1.640272e+05","1.786480e+05","2.012324e+05","2.197220e+05","2.522498e+05","3.003218e+05","3.658008e+05","4.456438e+05","3.838721e+05","5.326427e+05","5.845291e+05","5.693236e+05","6.049300e+05","6.268252e+05","5.847028e+05","5.227622e+05","5.869735e+05","6.335989e+05","1.385689e+05","1.423757e+05","1.604439e+05","1.267165e+05","1.263478e+05","1.692910e+05","1.845733e+05","1.932431e+05","2.156843e+05","2.077200e+05","2.719260e+05","2.131505e+05","2.433125e+05","2.622202e+05","2.882364e+05","3.293553e+05","3.920627e+05","4.689573e+05","5.606851e+05","5.170786e+05","7.179404e+05","7.004309e+05","6.834154e+05","7.360377e+05","7.641246e+05","7.528324e+05","6.134557e+05","7.850678e+05","8.183884e+05",
"Swaziland","4.083175e+04","3.632498e+04","4.195121e+04","4.145776e+04","4.240455e+04","4.541383e+04","4.927154e+04","4.205487e+04","4.502770e+04","4.549928e+04","5.275443e+04","4.752747e+04","4.770874e+04","4.755200e+04","5.991213e+04","6.997870e+04","7.768893e+04","9.595954e+04","1.221620e+05","9.568596e+04","2.067177e+05","1.506658e+05","1.509462e+05","1.344020e+05","1.467679e+05","1.421561e+05","1.395756e+05","1.434209e+05","1.471565e+05","2.699896e+05","2.677103e+05","3.099514e+05","3.023550e+05","3.009493e+05","3.308638e+05","3.328708e+05","3.379421e+05","2.981076e+05","3.042629e+05","3.113079e+05","2.932683e+05","2.930445e+05","3.280900e+05","4.020295e+05","4.436508e+05","4.664643e+05","5.414238e+05","6.493536e+05","5.805148e+05","1.077351e+06","8.823925e+05","8.807626e+05","8.211498e+05","8.947741e+05","8.528638e+05","8.786446e+05","8.857872e+05","8.984719e+05","9.900500e+04","1.114472e+05","1.416711e+05","1.378827e+05","1.365814e+05","1.588944e+05","1.660649e+05","1.668042e+05","1.506920e+05","1.510616e+05","1.501667e+05","1.434018e+05","1.413411e+05","1.756247e+05","2.010246e+05","2.200529e+05","2.238696e+05","2.532823e+05","2.918938e+05","2.681057e+05","3.781942e+05","4.028201e+05","3.941334e+05","3.841943e+05","4.135541e+05","3.642474e+05","3.785375e+05","3.825630e+05","3.914213e+05","1.398367e+05","1.477722e+05","1.836223e+05","1.793404e+05","1.789860e+05","2.043082e+05","2.153364e+05","2.088591e+05","1.957197e+05","1.965609e+05","2.029211e+05","1.909292e+05","1.890498e+05","2.231767e+05","2.609367e+05","2.900316e+05","3.015585e+05","3.492418e+05","4.140558e+05","3.637916e+05","5.849119e+05","5.534859e+05","5.450796e+05","5.185963e+05","5.603220e+05","5.064035e+05","5.181131e+05","5.259839e+05","5.385778e+05","1.709846e+05","1.562631e+05","1.682803e+05","1.644724e+05","1.643679e+05","1.719694e+05","1.668059e+05","1.711379e+05","1.474155e+05","1.532013e+05","1.611412e+05","1.498665e+05","1.517035e+05","1.524654e+05","2.010049e+05","2.235978e+05","2.425947e+05","2.881415e+05","3.574598e+05","3.124092e+05","6.991570e+05","4.795724e+05","4.866292e+05","4.369554e+05","4.812200e+05","4.886165e+05","5.001071e+05","5.032242e+05","5.070506e+05",
"Sweden","2.452942e+07","2.550242e+07","2.536060e+07","1.931525e+07","2.098396e+07","2.839121e+07","2.583037e+07","2.339699e+07","2.335591e+07","2.447784e+07","2.501661e+07","2.432926e+07","2.661585e+07","3.484462e+07","4.434331e+07","4.713558e+07","6.055397e+07","7.406500e+07","7.871507e+07","5.853244e+07","7.919432e+07","8.662877e+07","8.568807e+07","8.854408e+07","9.590754e+07","8.159552e+07","8.619285e+07","8.862125e+07","9.089808e+07","8.263469e+07","8.426853e+07","8.472747e+07","6.862722e+07","7.430217e+07","9.596602e+07","8.748730e+07","8.441151e+07","8.302559e+07","8.626871e+07","8.626752e+07","8.332868e+07","9.044214e+07","1.129845e+08","1.392326e+08","1.480116e+08","1.815746e+08","2.202097e+08","2.386163e+08","1.874224e+08","2.425631e+08","2.641053e+08","2.642548e+08","2.721460e+08","2.932417e+08","2.624187e+08","2.685462e+08","2.761681e+08","2.863446e+08","2.039190e+07","2.071715e+07","2.217956e+07","2.003106e+07","2.256731e+07","2.867946e+07","2.788322e+07","2.754632e+07","2.822343e+07","2.895988e+07","3.015869e+07","2.957771e+07","3.148158e+07","3.860411e+07","4.789121e+07","5.281360e+07","6.576191e+07","8.198958e+07","9.449713e+07","7.314931e+07","9.224302e+07","1.024668e+08","1.014080e+08","1.026150e+08","1.065058e+08","9.473795e+07","9.511255e+07","9.854764e+07","1.028698e+08","4.492132e+07","4.621957e+07","4.754016e+07","3.934631e+07","4.355127e+07","5.707068e+07","5.371360e+07","5.094332e+07","5.157934e+07","5.343772e+07","5.517530e+07","5.390697e+07","5.809743e+07","7.344873e+07","9.223451e+07","9.994918e+07","1.263159e+08","1.560546e+08","1.732122e+08","1.316817e+08","1.714373e+08","1.890956e+08","1.870961e+08","1.911590e+08","2.024133e+08","1.763335e+08","1.813054e+08","1.871689e+08","1.937678e+08","6.224279e+07","6.355138e+07","6.254791e+07","4.859616e+07","5.173486e+07","6.728656e+07","5.960407e+07","5.686519e+07","5.480216e+07","5.730883e+07","5.610883e+07","5.375097e+07","5.896057e+07","7.438043e+07","9.134138e+07","9.519800e+07","1.158127e+08","1.382201e+08","1.441191e+08","1.142731e+08","1.503201e+08","1.616384e+08","1.628468e+08","1.695311e+08","1.867359e+08","1.676808e+08","1.734337e+08","1.776204e+08","1.834749e+08",
"Switzerland","1.642986e+07","1.856574e+07","2.172771e+07","2.152894e+07","2.478726e+07","3.147853e+07","3.271752e+07","3.064845e+07","3.103902e+07","3.187841e+07","3.362552e+07","3.158849e+07","3.414819e+07","4.246635e+07","5.389725e+07","5.923137e+07","7.417131e+07","9.132877e+07","1.124797e+08","9.283577e+07","1.199574e+08","1.386421e+08","1.381566e+08","1.416624e+08","1.496448e+08","1.298486e+08","1.305644e+08","1.354068e+08","1.402269e+08","5.955157e+07","6.504117e+07","7.433192e+07","7.364548e+07","8.244052e+07","9.967865e+07","1.015045e+08","9.710853e+07","9.631692e+07","9.816786e+07","9.773341e+07","9.947420e+07","1.069433e+08","1.291098e+08","1.577343e+08","1.708325e+08","2.034967e+08","2.448016e+08","2.933707e+08","2.548755e+08","3.167974e+08","3.554042e+08","3.584625e+08","3.709912e+08","3.939614e+08","3.575558e+08","3.809848e+08","3.864058e+08","4.106763e+08","1.102708e+07","1.190485e+07","1.380939e+07","1.286208e+07","1.445771e+07","1.801788e+07","1.883261e+07","1.865398e+07","1.846062e+07","1.891234e+07","1.932198e+07","2.578211e+07","2.687044e+07","3.274710e+07","4.156502e+07","4.635558e+07","5.656986e+07","6.980519e+07","8.190722e+07","6.612087e+07","8.113931e+07","8.726824e+07","8.638863e+07","9.203634e+07","9.280139e+07","7.714079e+07","8.338675e+07","8.475416e+07","9.029105e+07","2.745693e+07","3.047059e+07","3.553710e+07","3.439102e+07","3.924497e+07","4.949641e+07","5.155013e+07","4.930243e+07","4.949964e+07","5.079076e+07","5.294750e+07","5.737061e+07","6.101864e+07","7.521345e+07","9.546228e+07","1.055870e+08","1.307412e+08","1.611340e+08","1.943869e+08","1.589566e+08","2.010967e+08","2.259104e+08","2.245453e+08","2.336987e+08","2.424462e+08","2.069894e+08","2.139512e+08","2.201610e+08","2.305179e+08","4.852449e+07","5.313632e+07","6.052253e+07","6.078340e+07","6.798281e+07","8.166076e+07","8.267194e+07","7.845455e+07","7.785631e+07","7.925552e+07","7.841143e+07","7.369209e+07","8.007283e+07","9.636266e+07","1.161693e+08","1.244770e+08","1.469268e+08","1.749964e+08","2.114635e+08","1.887547e+08","2.356580e+08","2.681359e+08","2.720739e+08","2.789549e+08","3.011601e+08","2.804150e+08","2.975980e+08","3.016517e+08","3.203853e+08",
"Syria","6.333649e+05","6.950228e+05","7.493651e+05","5.896473e+05","6.047635e+05","8.493382e+05","9.440448e+05","1.028783e+06","1.092313e+06","1.097086e+06","1.217260e+06","1.234612e+06","1.345328e+06","1.588583e+06","1.965896e+06","2.270984e+06","2.914417e+06","3.271143e+06","4.061493e+06","3.443148e+06","4.103590e+06","4.783380e+06","4.901353e+06","5.109057e+06","4.929176e+06","4.162106e+06","4.097142e+06","4.256670e+06","4.414936e+06","1.850031e+06","2.037518e+06","2.166288e+06","1.784332e+06","1.714673e+06","2.287200e+06","2.535670e+06","2.735104e+06","2.853564e+06","2.815675e+06","3.016304e+06","2.985992e+06","3.259796e+06","3.880348e+06","4.557903e+06","5.156350e+06","6.174970e+06","6.815564e+06","8.296079e+06","7.751749e+06","8.859420e+06","1.036662e+07","1.078229e+07","1.117697e+07","1.119517e+07","1.017329e+07","1.017332e+07","1.017286e+07","1.017247e+07","2.628122e+05","2.681768e+05","2.368611e+05","1.671012e+05","1.622296e+05","1.856083e+05","2.028029e+05","1.978348e+05","1.939705e+05","1.955101e+05","1.952224e+05","1.808619e+05","1.980441e+05","2.466334e+05","3.202532e+05","3.600554e+05","4.222046e+05","4.803262e+05","5.614042e+05","4.690740e+05","6.425165e+05","1.021395e+06","1.087655e+06","1.182556e+06","1.211690e+06","1.028188e+06","1.082982e+06","1.084844e+06","1.086737e+06","8.961770e+05","9.631996e+05","9.862262e+05","7.567485e+05","7.669932e+05","1.034947e+06","1.146848e+06","1.226617e+06","1.286284e+06","1.292597e+06","1.412482e+06","1.415474e+06","1.543372e+06","1.835216e+06","2.286149e+06","2.631039e+06","3.336622e+06","3.751470e+06","4.622897e+06","3.912222e+06","4.746106e+06","5.804775e+06","5.989008e+06","6.291613e+06","6.140866e+06","5.190294e+06","5.180124e+06","5.341513e+06","5.501673e+06","1.587219e+06","1.769341e+06","1.929427e+06","1.617231e+06","1.552443e+06","2.101592e+06","2.332868e+06","2.537270e+06","2.659594e+06","2.620165e+06","2.821082e+06","2.805130e+06","3.061752e+06","3.633714e+06","4.237650e+06","4.796294e+06","5.752765e+06","6.335238e+06","7.734675e+06","7.282675e+06","8.216904e+06","9.345220e+06","9.694630e+06","9.994411e+06","9.983485e+06","9.145098e+06","9.090336e+06","9.088020e+06","9.085734e+06",
"Taiwan","2.508296e+07","2.484013e+07","2.576625e+07","2.553648e+07","2.573653e+07","2.691721e+07","2.754422e+07","2.562074e+07","2.965508e+07","2.975087e+07","3.900268e+07","3.268163e+07","3.302342e+07","3.463765e+07","3.820122e+07","3.963338e+07","4.193301e+07","4.295883e+07","4.401327e+07","4.048330e+07","4.563924e+07","4.398817e+07","4.232530e+07","4.232495e+07","4.356242e+07","4.106436e+07","4.169026e+07","4.383584e+07","4.586433e+07","1.282128e+08","1.272817e+08","1.294958e+08","1.299425e+08","1.265397e+08","1.305586e+08","1.297722e+08","1.244466e+08","1.325338e+08","1.342028e+08","1.676120e+08","1.377453e+08","1.375410e+08","1.344628e+08","1.518864e+08","1.523130e+08","1.587203e+08","1.616981e+08","1.657532e+08","1.650370e+08","1.768874e+08","1.673997e+08","1.665870e+08","1.668094e+08","1.736055e+08","1.688945e+08","1.689108e+08","1.689047e+08","1.688920e+08","4.407041e+07","4.428292e+07","4.434068e+07","4.493542e+07","4.371074e+07","4.436935e+07","4.458011e+07","3.881005e+07","4.271156e+07","4.306103e+07","4.668906e+07","4.464929e+07","4.475080e+07","4.517473e+07","4.633400e+07","4.627056e+07","4.721000e+07","4.769859e+07","4.871917e+07","4.910277e+07","5.117422e+07","4.920417e+07","4.809328e+07","4.806360e+07","4.972597e+07","4.818416e+07","4.825714e+07","4.797951e+07","4.764018e+07","6.915337e+07","6.912305e+07","7.010693e+07","7.047190e+07","6.944728e+07","7.128656e+07","7.212433e+07","6.443080e+07","7.236664e+07","7.281190e+07","8.569174e+07","7.733092e+07","7.777421e+07","7.981238e+07","8.453523e+07","8.590394e+07","8.914301e+07","9.065742e+07","9.273244e+07","8.958607e+07","9.681346e+07","9.319233e+07","9.041858e+07","9.038855e+07","9.328840e+07","8.924853e+07","8.994740e+07","9.181536e+07","9.350452e+07","8.414234e+07","8.299879e+07","8.515516e+07","8.500704e+07","8.282893e+07","8.618921e+07","8.519213e+07","8.563656e+07","8.982226e+07","9.114180e+07","1.209230e+08","9.309597e+07","9.279024e+07","8.928809e+07","1.055524e+08","1.060425e+08","1.115103e+08","1.139995e+08","1.170340e+08","1.159342e+08","1.257132e+08","1.181955e+08","1.184937e+08","1.187458e+08","1.238795e+08","1.207104e+08","1.206536e+08","1.209252e+08","1.212518e+08",
"Tajikistan","1.836412e+04","1.608055e+04","5.433210e+04","4.706635e+04","3.869902e+04","4.219382e+04","5.808977e+04","6.481260e+04","7.676243e+04","6.986568e+04","6.906890e+04","6.624465e+04","7.785884e+04","9.514425e+04","1.085771e+05","1.166558e+05","1.146079e+05","1.182054e+05","1.574580e+05","1.338226e+05","1.778154e+05","2.202335e+05","2.093991e+05","2.322993e+05","2.471339e+05","2.261235e+05","2.539968e+05","2.572358e+05","2.581892e+05","1.680142e+05","1.349198e+05","3.168727e+05","2.872061e+05","2.240544e+05","2.587530e+05","2.895869e+05","3.241073e+05","3.083535e+05","2.628957e+05","2.645943e+05","2.699213e+05","3.220272e+05","3.819954e+05","4.616259e+05","5.076482e+05","5.403385e+05","6.046928e+05","8.110786e+05","7.239071e+05","9.798431e+05","1.267584e+06","1.239359e+06","1.370968e+06","1.440447e+06","1.380737e+06","1.505206e+06","1.569058e+06","1.650290e+06","3.752808e+04","2.891499e+04","3.598959e+04","4.086170e+04","3.319914e+04","4.304481e+04","3.920019e+04","4.785916e+04","3.411290e+04","3.333013e+04","3.704527e+04","3.608081e+04","4.096948e+04","4.873751e+04","5.876246e+04","7.047442e+04","8.275773e+04","9.869417e+04","1.269051e+05","1.018946e+05","1.686946e+05","2.860085e+05","2.675047e+05","2.876598e+05","2.934641e+05","2.401655e+05","2.441018e+05","2.612825e+05","2.809420e+05","5.589220e+04","4.499554e+04","9.032169e+04","8.792805e+04","7.189816e+04","8.523863e+04","9.728995e+04","1.126718e+05","1.108753e+05","1.031958e+05","1.061142e+05","1.023255e+05","1.188283e+05","1.438818e+05","1.673396e+05","1.871302e+05","1.973656e+05","2.168996e+05","2.843631e+05","2.357172e+05","3.465101e+05","5.062420e+05","4.769039e+05","5.199591e+05","5.405980e+05","4.662890e+05","4.980985e+05","5.185183e+05","5.391312e+05","1.304862e+05","1.060048e+05","2.808831e+05","2.463444e+05","1.908552e+05","2.157082e+05","2.503867e+05","2.762481e+05","2.742406e+05","2.295655e+05","2.275490e+05","2.338405e+05","2.810577e+05","3.332579e+05","4.028635e+05","4.371737e+05","4.575808e+05","5.059986e+05","6.841735e+05","6.220125e+05","8.111484e+05","9.815751e+05","9.718539e+05","1.083308e+06","1.146982e+06","1.140571e+06","1.261104e+06","1.307776e+06","1.369348e+06",
"Thailand","4.847748e+06","6.058543e+06","6.794580e+06","6.573219e+06","7.608052e+06","9.841705e+06","9.989189e+06","9.691729e+06","9.622909e+06","1.049277e+07","1.272516e+07","1.246325e+07","1.268410e+07","1.598057e+07","2.052664e+07","2.701757e+07","3.510416e+07","3.965348e+07","4.805855e+07","3.284538e+07","4.357892e+07","4.949866e+07","4.847375e+07","5.495513e+07","5.776859e+07","5.003798e+07","5.139142e+07","5.396344e+07","5.597941e+07","3.044853e+07","3.751583e+07","4.201762e+07","4.235188e+07","4.840259e+07","6.235719e+07","5.591735e+07","5.605927e+07","5.129207e+07","5.607220e+07","6.995491e+07","6.577010e+07","6.679856e+07","8.054518e+07","9.874159e+07","1.317626e+08","1.533889e+08","1.706963e+08","2.031767e+08","1.526084e+08","1.967782e+08","2.230252e+08","2.233263e+08","2.446083e+08","2.603439e+08","2.400728e+08","2.427551e+08","2.562082e+08","2.646848e+08","8.774970e+06","9.850819e+06","1.151005e+07","1.194531e+07","1.406172e+07","2.043537e+07","1.673435e+07","1.704330e+07","1.566827e+07","1.684209e+07","2.468483e+07","2.153926e+07","2.158955e+07","2.599423e+07","3.180151e+07","4.616552e+07","4.829831e+07","5.404258e+07","6.602666e+07","4.876506e+07","6.342025e+07","7.568421e+07","7.450828e+07","7.474844e+07","7.877264e+07","7.363934e+07","7.488381e+07","7.862621e+07","8.121113e+07","1.362272e+07","1.590936e+07","1.830463e+07","1.851853e+07","2.166977e+07","3.027708e+07","2.672354e+07","2.673502e+07","2.529118e+07","2.733486e+07","3.740998e+07","3.400251e+07","3.427366e+07","4.197480e+07","5.232815e+07","7.318309e+07","8.340247e+07","9.369606e+07","1.140852e+08","8.161044e+07","1.069992e+08","1.251829e+08","1.229820e+08","1.297036e+08","1.365412e+08","1.236773e+08","1.262752e+08","1.325896e+08","1.371905e+08","2.167356e+07","2.766501e+07","3.050757e+07","3.040657e+07","3.434087e+07","4.192181e+07","3.918300e+07","3.901598e+07","3.562380e+07","3.923011e+07","4.527008e+07","4.423084e+07","4.520901e+07","5.455095e+07","6.694008e+07","8.559708e+07","1.050906e+08","1.166537e+08","1.371500e+08","1.038433e+08","1.333580e+08","1.473410e+08","1.488180e+08","1.698598e+08","1.815713e+08","1.664335e+08","1.678713e+08","1.775820e+08","1.834737e+08",
"TFYR Macedonia","1.761462e+05","1.721102e+05","1.683948e+05","1.886293e+05","2.403848e+05","2.950336e+05","3.247792e+05","2.960561e+05","2.789443e+05","2.909358e+05","3.161178e+05","3.525880e+05","3.702807e+05","4.477605e+05","5.438116e+05","6.224825e+05","7.528580e+05","9.603505e+05","1.206723e+06","1.064634e+06","1.417966e+06","1.493583e+06","1.442307e+06","1.517009e+06","1.623252e+06","1.359608e+06","1.418371e+06","1.489137e+06","1.564152e+06","7.924887e+05","7.309116e+05","7.619517e+05","8.213927e+05","9.617263e+05","1.164882e+06","1.236985e+06","1.170926e+06","1.151078e+06","1.176934e+06","1.235594e+06","1.290330e+06","1.393468e+06","1.630115e+06","1.925516e+06","2.129934e+06","2.464630e+06","3.020880e+06","3.697420e+06","3.298478e+06","4.125701e+06","4.454264e+06","4.353428e+06","4.516335e+06","4.865792e+06","4.269192e+06","4.269416e+06","4.268662e+06","4.268042e+06","2.387380e+05","2.080793e+05","2.802759e+05","2.719122e+05","2.878044e+05","3.545598e+05","3.700526e+05","3.926303e+05","4.027396e+05","3.980350e+05","4.355066e+05","4.227316e+05","4.671758e+05","5.448733e+05","6.806159e+05","7.516749e+05","9.153263e+05","1.165367e+06","1.451701e+06","1.156449e+06","1.476694e+06","1.709970e+06","1.684737e+06","1.700755e+06","1.801432e+06","1.551571e+06","1.539957e+06","1.540762e+06","1.532670e+06","4.148842e+05","3.801895e+05","4.486707e+05","4.605415e+05","5.281893e+05","6.495934e+05","6.948318e+05","6.886865e+05","6.816840e+05","6.889708e+05","7.516245e+05","7.753196e+05","8.374565e+05","9.926338e+05","1.224428e+06","1.374157e+06","1.668184e+06","2.125717e+06","2.658424e+06","2.221083e+06","2.894660e+06","3.203553e+06","3.127044e+06","3.217765e+06","3.424684e+06","2.911179e+06","2.958328e+06","3.029899e+06","3.096822e+06","5.537507e+05","5.228322e+05","4.816758e+05","5.494805e+05","6.739219e+05","8.103225e+05","8.669326e+05","7.782956e+05","7.483383e+05","7.788990e+05","8.000873e+05","8.675987e+05","9.262922e+05","1.085242e+06","1.244900e+06","1.378259e+06","1.549304e+06","1.855513e+06","2.245720e+06","2.142029e+06","2.649008e+06","2.744294e+06","2.668691e+06","2.815579e+06","3.064360e+06","2.717621e+06","2.729459e+06","2.727900e+06","2.735372e+06",
